id1 id2 nx ny nz f
9486 7864 0.883591117 -0.468259264 0.000000000 148.768369144
5933 9083 0.284939230 -0.958545583 0.000000000 33.246341113
8669 766 0.980188409 -0.198067370 0.000000000 91.078773179
4331 5911 0.684080573 -0.729406450 0.000000000 68.464051094
1268 7864 0.563631359 0.826026447 0.000000000 103.030522430
4611 4022 0.435616074 -0.900132566 0.000000000 93.154203169
1522 8867 0.939966758 -0.341266016 0.000000000 0.983522946
2490 1325 0.610299300 0.792170919 0.000000000 151.192290642
3132 3111 0.703491781 -0.710703394 0.000000000 121.942814414
7202 3670 0.878332756 -0.478049756 0.000000000 101.456074167
6267 6263 0.878469734 -0.477797998 0.000000000 59.120234226
1427 6751 0.822428071 0.568869113 0.000000000 268.026003909
6579 3670 0.705655215 0.708555374 0.000000000 348.067495702
5911 4950 0.643553441 -0.765401181 0.000000000 110.709261310
766 6837 0.868215849 -0.496186698 0.000000000 140.846717738
7729 892 0.453287399 -0.891364423 0.000000000 63.209205362
5289 1558 0.798706622 -0.601720643 0.000000000 266.726778385
920 2687 0.312700961 0.949851625 0.000000000 231.388874446
4378 750 0.350388585 -0.936604420 0.000000000 157.920133057
8442 5245 0.850123148 -0.526583927 0.000000000 101.211843183
8442 71 0.856827257 0.515603580 0.000000000 71.918456569
4881 6241 0.955887346 -0.293733520 0.000000000 175.775307223
7174 155 -0.134250556 -0.990947419 0.000000000 97.326734195
431 7653 0.418243332 0.908335024 0.000000000 115.255377746
9889 9615 0.268788029 0.963199354 0.000000000 179.115947539
2302 3273 0.843026900 -0.537871403 0.000000000 262.067799729
753 7176 0.636750790 0.771069667 0.000000000 175.249100005
2038 7189 0.791316002 -0.611407380 0.000000000 57.047806432
7615 9686 0.501795638 -0.864986206 0.000000000 89.854712304
9801 4782 0.717612463 -0.696442642 0.000000000 316.220240142
4363 3949 0.812651037 -0.582750626 0.000000000 148.266932446
9615 2195 0.712120966 -0.702056785 0.000000000 240.517537003
1558 9421 0.603057859 -0.797697448 0.000000000 129.837965762
2486 6163 0.749444783 -0.662066853 0.000000000 76.815188193
3164 7630 0.919710529 -0.392597176 0.000000000 128.588281965
892 9447 0.835272000 -0.549836964 0.000000000 230.392015562
9031 7029 0.808121431 -0.589015919 0.000000000 200.154003484
2687 562 0.917325827 -0.398137321 0.000000000 127.866713972
7847 4405 0.247254845 -0.968950485 0.000000000 63.004310677
7082 9537 0.878592022 0.477573093 0.000000000 97.886954816
3949 7619 0.765156846 -0.643843926 0.000000000 60.112938239
4515 9703 0.182232073 0.983255548 0.000000000 26.965775995
4782 9427 0.178873064 -0.983872160 0.000000000 296.889718737
4782 2278 0.951655523 0.307167324 0.000000000 218.149760177
4405 6769 0.672757869 -0.739862724 0.000000000 80.809572071
6123 8672 0.867915516 -0.496711845 0.000000000 139.115377428
7806 9792 0.918227165 0.396054128 0.000000000 308.259750105
7029 8457 0.762206378 -0.647334100 0.000000000 198.967345928
8500 1445 0.945573676 0.325408086 0.000000000 163.296057463
7343 802 0.195314877 -0.980740587 0.000000000 64.227108945
9421 6399 0.581091115 -0.813838508 0.000000000 116.505853092
2795 3654 0.739107997 0.673586943 0.000000000 155.926872723
9537 5568 -0.104170008 0.994559505 0.000000000 139.365677961
4807 9163 0.174144228 0.984720157 0.000000000 3.384364525
1119 7371 0.576243972 -0.817277728 0.000000000 57.273536962
8044 8663 0.893859432 -0.448347317 0.000000000 190.922446336
5547 4917 0.599195631 0.800602645 0.000000000 73.619025006
4809 1766 -0.056062605 0.998427255 0.000000000 195.890908535
6769 3564 0.707923755 0.706288863 0.000000000 304.721325665
6209 183 0.373964004 -0.927443219 0.000000000 89.386219223
5563 303 0.873223549 -0.487319847 0.000000000 157.186967537
1766 4108 0.963050907 0.269319420 0.000000000 338.669051380
9608 3334 0.839206780 -0.543812450 0.000000000 99.203640567
9931 7376 0.709587503 0.704617325 0.000000000 47.792352723
4917 3573 0.343387887 0.939193675 0.000000000 69.204471698
3176 7945 0.615592035 -0.788065002 0.000000000 123.181022301
8719 7396 0.969471217 -0.245205138 0.000000000 130.495248050
494 5104 0.865976363 -0.500084931 0.000000000 181.538717273
4791 2809 0.239472815 -0.970903070 0.000000000 121.931297274
117 3981 0.550857267 0.834599467 0.000000000 150.134953393
2924 1265 0.433830157 -0.900994670 0.000000000 66.803160453
1500 3765 0.734366559 -0.678753090 0.000000000 212.730253282
6671 5919 0.576293334 0.817242922 0.000000000 175.305307335
6925 7759 0.741846408 0.670569838 0.000000000 73.878567918
857 8708 0.671769123 -0.740760586 0.000000000 107.023287303
5736 7759 0.869227588 -0.494412177 0.000000000 41.013255367
6023 6613 0.193887949 -0.981023681 0.000000000 193.027589478
9919 6050 0.512222537 -0.858852765 0.000000000 142.290603009
1464 8750 0.705367931 0.708841366 0.000000000 77.605138456
3124 4757 0.785861820 0.618402135 0.000000000 38.889812962
3124 8263 0.889867903 -0.456218276 0.000000000 81.354171547
9625 2736 0.857503018 0.514478935 0.000000000 213.688344225
5415 1942 0.999252110 -0.038668088 0.000000000 128.683483368
5421 1512 0.999999350 -0.001140097 0.000000000 192.773537133
6165 1816 0.643303107 -0.765611594 0.000000000 242.687672762
8750 4612 0.249597048 -0.968349789 0.000000000 151.938301705
3692 4202 0.709158541 0.705049050 0.000000000 92.297072458
162 1260 -0.794290232 -0.607538499 0.000000000 12.789611382
3140 8919 0.999101935 -0.042371258 0.000000000 274.251801376
9327 1879 0.573884019 0.818936586 0.000000000 222.365382026
5376 2506 0.790606826 -0.612324135 0.000000000 84.766346731
6335 5728 0.689593639 -0.724196529 0.000000000 137.018844304
6335 1094 0.898814211 0.438329800 0.000000000 20.995961266
464 3742 0.482494288 0.875899116 0.000000000 154.344543854
2192 3742 0.495472776 -0.868623468 0.000000000 94.935538296
6028 7775 0.991569185 -0.129578361 0.000000000 236.014374731
8113 646 0.846433011 -0.532495219 0.000000000 159.035829396
2113 8358 0.921025587 -0.389502077 0.000000000 47.018009520
2659 1892 0.857175642 -0.515024192 0.000000000 235.405734790
7243 3232 0.507277208 -0.861782939 0.000000000 248.119209491
2251 6882 0.732052560 -0.681248155 0.000000000 135.842405256
2506 7899 0.919606588 -0.392840582 0.000000000 81.723564259
5728 3967 0.899673949 0.436562465 0.000000000 25.465091520
1364 151 0.999280624 -0.037924071 0.000000000 79.373743885
4501 1922 0.475014034 -0.879978220 0.000000000 121.444365064
4225 789 0.784208697 -0.620497155 0.000000000 186.387336684
8821 6431 0.802247734 -0.596991268 0.000000000 180.759501171
8821 5564 0.913392092 0.407080934 0.000000000 84.901945083
9580 4923 0.281728295 0.959494225 0.000000000 177.999993489
4863 213 -0.269987116 0.962863935 0.000000000 183.423253597
3260 2477 0.999354942 0.035912379 0.000000000 52.820561934
5122 496 0.678863104 -0.734264861 0.000000000 48.431010715
3580 8802 0.999031649 -0.043997312 0.000000000 247.802122883
3663 398 0.722446718 0.691426598 0.000000000 157.726808363
4193 6409 0.774464145 -0.632617806 0.000000000 247.873789911
5455 1599 0.014656797 -0.999892583 0.000000000 15.367993203
6625 8760 0.820478271 0.571677712 0.000000000 81.119217426
2131 6261 0.751179790 -0.660097662 0.000000000 105.022765462
4191 4010 0.907273527 0.420541016 0.000000000 34.218452808
484 3539 0.696573178 -0.717485754 0.000000000 332.625831766
3272 8377 0.831348891 0.555750863 0.000000000 181.714231176
8880 4903 0.852301467 0.523050867 0.000000000 38.771013216
4556 5602 0.828472378 -0.560029927 0.000000000 44.536826597
8239 7511 0.591270131 0.806473578 0.000000000 26.047831664
398 6409 -0.309384552 0.950937011 0.000000000 183.399297630
707 7258 0.984354182 -0.176201147 0.000000000 215.868571867
8514 143 0.984885321 -0.173207691 0.000000000 232.466248341
7815 6011 0.439140186 -0.898418553 0.000000000 125.373784980
4010 3120 0.999666959 -0.025806426 0.000000000 118.757534533
8998 9136 0.367185736 0.930147642 0.000000000 286.700715807
4642 3517 0.698856676 0.715261733 0.000000000 54.292726207
9217 6441 0.189163074 -0.981945687 0.000000000 116.418256088
9823 5905 0.617537982 -0.786541061 0.000000000 174.938301843
7422 1023 0.876734489 -0.480974672 0.000000000 132.473783497
4633 3979 0.222357119 -0.974965287 0.000000000 281.616493729
6536 4626 0.822191700 -0.569210689 0.000000000 207.853312634
7602 4626 0.559715950 0.828684533 0.000000000 206.294410461
8081 1023 0.722219373 0.691664064 0.000000000 93.424129861
6441 9952 0.772413890 0.635119503 0.000000000 302.929678613
3492 7987 -0.927884013 -0.372868955 0.000000000 8.960995223
6520 4319 0.733658484 0.679518380 0.000000000 101.491331974
2245 1493 0.870374872 -0.492389665 0.000000000 75.926916378
5666 2780 0.706719761 -0.707493589 0.000000000 169.578343316
9068 5723 0.832580827 -0.553903572 0.000000000 102.414923990
7255 5248 0.950772897 0.309888527 0.000000000 192.524520813
1643 381 0.076324917 -0.997082999 0.000000000 213.335936237
8974 3000 0.087538138 0.996161169 0.000000000 108.546244549
5648 8159 0.716484155 0.697603365 0.000000000 115.811026361
6166 1153 0.714400142 0.699737406 0.000000000 77.196764980
511 8166 0.963083842 -0.269201623 0.000000000 189.958863226
8420 6699 -0.271458953 -0.962450018 0.000000000 100.294316139
2321 8471 0.960511568 -0.278240054 0.000000000 159.178621349
1493 939 0.206066350 0.978538022 0.000000000 146.523377098
3000 8662 0.953489637 0.301425800 0.000000000 255.866736719
5788 8471 0.708642824 0.705567394 0.000000000 159.497762562
343 2323 0.869711405 -0.493560606 0.000000000 94.463910398
343 4419 0.872114265 0.489302267 0.000000000 52.191336857
559 8928 0.902454411 -0.430785371 0.000000000 32.755748932
8611 8381 0.715271178 0.698847009 0.000000000 132.903251101
3302 8989 0.295835457 0.955238914 0.000000000 21.597729578
